start = 0, end = 7
start = 8, end = 10
start = 11, end = 13
start = 14, end = 15
start = 17, end = 19
start = 24, end = 26
start = 29, end = 30
start = 31, end = 32
start = 33, end = 107
start = 108, end = 207
start = 208, end = 210
start = 211, end = 213
start = 214, end = 215
start = 216, end = 307
start = 308, end = 407
start = 408, end = 410
start = 411, end = 413
start = 414, end = 415
start = 417, end = 419
start = 421, end = 507
start = 508, end = 521
start = 524, end = 607
start = 608, end = 610
start = 611, end = 613
start = 614, end = 615
start = 616, end = 707
start = 708, end = 807
start = 808, end = 810
start = 811, end = 813
start = 814, end = 815
start = 817, end = 819
start = 821, end = 907
start = 908, end = 1007
start = 1008, end = 1010
start = 1011, end = 1013
start = 1014, end = 1015
start = 1016, end = 1021
start = 1024, end = 1027
start = 1029, end = 1107
start = 1108, end = 1207
start = 1208, end = 1210
start = 1211, end = 1213
start = 1214, end = 1215
start = 1217, end = 1219
start = 1221, end = 1307
start = 1308, end = 1407
start = 1408, end = 1410
start = 1411, end = 1413
start = 1414, end = 1415
start = 1416, end = 1507
start = 1508, end = 1521
start = 1524, end = 1607
start = 1608, end = 1610
start = 1611, end = 1613
start = 1614, end = 1615
start = 1617, end = 1619
start = 1621, end = 1707
start = 1708, end = 1807
start = 1808, end = 1810
start = 1811, end = 1813
start = 1814, end = 1815
start = 1816, end = 1907
start = 1908, end = 2000
