start = 0, end = 19
start = 100, end = 101
start = 200, end = 208
start = 300, end = 301
start = 400, end = 411
start = 500, end = 501
start = 511, end = 514
start = 600, end = 608
start = 700, end = 701
start = 800, end = 811
start = 900, end = 901
start = 1000, end = 1008
start = 1011, end = 1016
start = 1100, end = 1101
start = 1200, end = 1211
start = 1300, end = 1301
start = 1400, end = 1408
start = 1500, end = 1501
start = 1511, end = 1514
start = 1600, end = 1611
start = 1700, end = 1701
start = 1800, end = 1808
start = 1900, end = 1901
