start = 6, end = 8
start = 12, end = 14
start = 16, end = 20
start = 21, end = 23
start = 24, end = 26
start = 106, end = 108
start = 206, end = 208
start = 306, end = 308
start = 406, end = 408
start = 412, end = 414
start = 506, end = 508
start = 516, end = 518
start = 606, end = 608
start = 706, end = 708
start = 806, end = 808
start = 812, end = 814
start = 906, end = 908
start = 1006, end = 1008
start = 1016, end = 1020
start = 1021, end = 1023
start = 1106, end = 1108
start = 1206, end = 1208
start = 1212, end = 1214
start = 1306, end = 1308
start = 1406, end = 1408
start = 1506, end = 1508
start = 1516, end = 1518
start = 1606, end = 1608
start = 1612, end = 1614
start = 1706, end = 1708
start = 1806, end = 1808
start = 1906, end = 1908
