start = 3, end = 5
start = 10, end = 12
start = 22, end = 23
start = 103, end = 105
start = 203, end = 205
start = 210, end = 212
start = 303, end = 305
start = 403, end = 405
start = 410, end = 412
start = 503, end = 505
start = 603, end = 605
start = 610, end = 612
start = 703, end = 705
start = 803, end = 805
start = 810, end = 812
start = 903, end = 905
start = 1003, end = 1005
start = 1010, end = 1012
start = 1103, end = 1105
start = 1203, end = 1205
start = 1210, end = 1212
start = 1303, end = 1305
start = 1403, end = 1405
start = 1410, end = 1412
start = 1503, end = 1505
start = 1603, end = 1605
start = 1610, end = 1612
start = 1703, end = 1705
start = 1803, end = 1805
start = 1810, end = 1812
start = 1903, end = 1905
