start = 2, end = 4
start = 8, end = 10
start = 10, end = 12
start = 12, end = 14
start = 18, end = 20
start = 20, end = 22
start = 24, end = 26
start = 102, end = 104
start = 202, end = 204
start = 302, end = 304
start = 402, end = 404
start = 408, end = 410
start = 410, end = 412
start = 502, end = 504
start = 512, end = 514
start = 602, end = 604
start = 702, end = 704
start = 802, end = 804
start = 808, end = 810
start = 810, end = 812
start = 902, end = 904
start = 1002, end = 1004
start = 1012, end = 1014
start = 1018, end = 1020
start = 1020, end = 1022
start = 1102, end = 1104
start = 1202, end = 1204
start = 1208, end = 1210
start = 1210, end = 1212
start = 1302, end = 1304
start = 1402, end = 1404
start = 1502, end = 1504
start = 1512, end = 1514
start = 1602, end = 1604
start = 1608, end = 1610
start = 1610, end = 1612
start = 1702, end = 1704
start = 1802, end = 1804
start = 1902, end = 1904
