start = 2, end = 4
start = 8, end = 10
start = 14, end = 16
start = 22, end = 27
start = 102, end = 103
start = 202, end = 204
start = 302, end = 303
start = 402, end = 404
start = 414, end = 416
start = 502, end = 503
start = 508, end = 510
start = 602, end = 604
start = 702, end = 703
start = 802, end = 804
start = 814, end = 816
start = 902, end = 903
start = 1002, end = 1004
start = 1008, end = 1010
start = 1022, end = 1026
start = 1102, end = 1103
start = 1202, end = 1204
start = 1214, end = 1216
start = 1302, end = 1303
start = 1402, end = 1404
start = 1502, end = 1503
start = 1508, end = 1510
start = 1602, end = 1604
start = 1614, end = 1616
start = 1702, end = 1703
start = 1802, end = 1804
start = 1902, end = 1903
