start = 0, end = 4
start = 5, end = 10
start = 11, end = 12
start = 23, end = 24
start = 25, end = 26
start = 27, end = 29
start = 32, end = 34
start = 36, end = 37
start = 39, end = 104
start = 105, end = 204
start = 205, end = 210
start = 211, end = 212
start = 214, end = 216
start = 217, end = 304
start = 305, end = 404
start = 405, end = 410
start = 411, end = 412
start = 418, end = 424
start = 425, end = 504
start = 505, end = 518
start = 520, end = 526
start = 527, end = 534
start = 536, end = 604
start = 605, end = 610
start = 611, end = 612
start = 614, end = 616
start = 617, end = 704
start = 705, end = 804
start = 805, end = 810
start = 811, end = 812
start = 818, end = 824
start = 825, end = 904
start = 905, end = 1004
start = 1005, end = 1010
start = 1011, end = 1012
start = 1014, end = 1016
start = 1017, end = 1018
start = 1020, end = 1026
start = 1027, end = 1029
start = 1032, end = 1034
start = 1036, end = 1037
start = 1039, end = 1104
start = 1105, end = 1204
start = 1205, end = 1210
start = 1211, end = 1212
start = 1218, end = 1224
start = 1225, end = 1304
start = 1305, end = 1404
start = 1405, end = 1410
start = 1411, end = 1412
start = 1414, end = 1416
start = 1417, end = 1504
start = 1505, end = 1518
start = 1520, end = 1526
start = 1527, end = 1534
start = 1536, end = 1604
start = 1605, end = 1610
start = 1611, end = 1612
start = 1618, end = 1624
start = 1625, end = 1704
start = 1705, end = 1804
start = 1805, end = 1810
start = 1811, end = 1812
start = 1814, end = 1816
start = 1817, end = 1904
start = 1905, end = 2000
