start = 0, end = 8
start = 10, end = 17
start = 19, end = 26
start = 28, end = 31
start = 32, end = 39
start = 40, end = 208
start = 210, end = 408
start = 410, end = 417
start = 419, end = 526
start = 528, end = 531
start = 532, end = 608
start = 610, end = 808
start = 810, end = 817
start = 819, end = 1008
start = 1010, end = 1026
start = 1028, end = 1031
start = 1032, end = 1208
start = 1210, end = 1217
start = 1219, end = 1408
start = 1410, end = 1526
start = 1528, end = 1531
start = 1532, end = 1608
start = 1610, end = 1617
start = 1619, end = 1808
start = 1810, end = 2000
