start = 1, end = 2
start = 3, end = 5
start = 5, end = 6
start = 10, end = 12
start = 12, end = 14
start = 14, end = 15
start = 20, end = 22
start = 22, end = 23
start = 101, end = 102
start = 201, end = 202
start = 203, end = 205
start = 210, end = 212
start = 301, end = 302
start = 401, end = 402
start = 403, end = 405
start = 405, end = 406
start = 410, end = 412
start = 501, end = 502
start = 512, end = 514
start = 514, end = 515
start = 601, end = 602
start = 603, end = 605
start = 610, end = 612
start = 701, end = 702
start = 801, end = 802
start = 803, end = 805
start = 805, end = 806
start = 810, end = 812
start = 901, end = 902
start = 1001, end = 1002
start = 1003, end = 1005
start = 1010, end = 1012
start = 1012, end = 1014
start = 1014, end = 1015
start = 1020, end = 1022
start = 1022, end = 1023
start = 1101, end = 1102
start = 1201, end = 1202
start = 1203, end = 1205
start = 1205, end = 1206
start = 1210, end = 1212
start = 1301, end = 1302
start = 1401, end = 1402
start = 1403, end = 1405
start = 1410, end = 1412
start = 1501, end = 1502
start = 1512, end = 1514
start = 1514, end = 1515
start = 1601, end = 1602
start = 1603, end = 1605
start = 1605, end = 1606
start = 1610, end = 1612
start = 1701, end = 1702
start = 1801, end = 1802
start = 1803, end = 1805
start = 1810, end = 1812
start = 1901, end = 1902
