start = 4, end = 6
start = 8, end = 21
start = 22, end = 24
start = 104, end = 106
start = 204, end = 206
start = 304, end = 306
start = 404, end = 406
start = 408, end = 414
start = 504, end = 506
start = 514, end = 516
start = 518, end = 519
start = 604, end = 606
start = 704, end = 706
start = 804, end = 806
start = 808, end = 814
start = 904, end = 906
start = 1004, end = 1006
start = 1014, end = 1021
start = 1104, end = 1106
start = 1204, end = 1206
start = 1208, end = 1214
start = 1304, end = 1306
start = 1404, end = 1406
start = 1504, end = 1506
start = 1514, end = 1516
start = 1518, end = 1519
start = 1604, end = 1606
start = 1608, end = 1614
start = 1704, end = 1706
start = 1804, end = 1806
start = 1904, end = 1906
