start = 6, end = 7
start = 12, end = 13
start = 18, end = 19
start = 112, end = 113
start = 212, end = 213
start = 312, end = 313
start = 412, end = 413
start = 506, end = 507
start = 512, end = 513
start = 518, end = 519
start = 612, end = 613
start = 712, end = 713
start = 812, end = 813
start = 912, end = 913
start = 1006, end = 1007
start = 1012, end = 1013
start = 1018, end = 1019
start = 1112, end = 1113
start = 1212, end = 1213
start = 1312, end = 1313
start = 1412, end = 1413
start = 1506, end = 1507
start = 1512, end = 1513
start = 1518, end = 1519
start = 1612, end = 1613
start = 1712, end = 1713
start = 1812, end = 1813
start = 1912, end = 1913
