start = 0, end = 9
start = 10, end = 22
start = 100, end = 104
start = 200, end = 209
start = 300, end = 304
start = 400, end = 409
start = 500, end = 504
start = 510, end = 520
start = 600, end = 609
start = 700, end = 704
start = 800, end = 809
start = 900, end = 904
start = 1000, end = 1009
start = 1010, end = 1020
start = 1100, end = 1104
start = 1200, end = 1209
start = 1300, end = 1304
start = 1400, end = 1409
start = 1500, end = 1504
start = 1510, end = 1520
start = 1600, end = 1609
start = 1700, end = 1704
start = 1800, end = 1809
start = 1900, end = 1904
