start = 0, end = 11
start = 12, end = 14
start = 15, end = 19
start = 20, end = 22
start = 24, end = 28
start = 29, end = 30
start = 33, end = 211
start = 212, end = 411
start = 412, end = 414
start = 415, end = 419
start = 420, end = 522
start = 524, end = 611
start = 612, end = 811
start = 812, end = 814
start = 815, end = 819
start = 820, end = 1011
start = 1012, end = 1022
start = 1024, end = 1028
start = 1029, end = 1211
start = 1212, end = 1214
start = 1215, end = 1219
start = 1220, end = 1411
start = 1412, end = 1522
start = 1524, end = 1611
start = 1612, end = 1614
start = 1615, end = 1619
start = 1620, end = 1811
start = 1812, end = 2000
