start = 1, end = 7
start = 8, end = 9
start = 12, end = 15
start = 16, end = 18
start = 25, end = 27
start = 102, end = 103
start = 201, end = 203
start = 302, end = 303
start = 401, end = 403
start = 405, end = 407
start = 502, end = 505
start = 601, end = 603
start = 702, end = 703
start = 801, end = 803
start = 805, end = 807
start = 902, end = 903
start = 1001, end = 1005
start = 1012, end = 1015
start = 1016, end = 1018
start = 1102, end = 1103
start = 1201, end = 1203
start = 1205, end = 1207
start = 1302, end = 1303
start = 1401, end = 1403
start = 1502, end = 1505
start = 1601, end = 1603
start = 1605, end = 1607
start = 1702, end = 1703
start = 1801, end = 1803
start = 1902, end = 1903
