start = 0, end = 12
start = 14, end = 28
start = 30, end = 33
start = 34, end = 112
start = 114, end = 212
start = 214, end = 312
start = 314, end = 412
start = 414, end = 512
start = 514, end = 528
start = 530, end = 612
start = 614, end = 712
start = 714, end = 812
start = 814, end = 912
start = 914, end = 1012
start = 1014, end = 1028
start = 1030, end = 1112
start = 1114, end = 1212
start = 1214, end = 1312
start = 1314, end = 1412
start = 1414, end = 1512
start = 1514, end = 1528
start = 1530, end = 1612
start = 1614, end = 1712
start = 1714, end = 1812
start = 1814, end = 1912
start = 1914, end = 2000
